claim_id	manuscript_claim	evidence_anchor	main_quantitative_support	claim_strength	caveat	recommended_language	next_validation
C01	The strict primary core is now complete enough to support manuscript-scale analysis.	Project/results/integrated_primary_core_datasets.md	10 primary datasets: 4 mouse dentate, 3 cerebellum, 3 human dentate/hippocampus.	High for dataset-frame claim.	Human GSE268609 labels are projected and GSE185277/GSE185553 are construction scaffolds rather than strict-core datasets.	Use as the strict primary-core frame, with scaffold datasets described separately.	Keep a transparent dataset table separating strict core, scaffolds, and external validation resources.
C02	Dentate and cerebellar granule cells remain regionally identity-separated.	Project/results/primary_core_ortholog_module_analysis.md; Project/results/primary_core_niche_circuit_module_model.md	Formal module model: upstream/niche median convergence delta -0.500; branch-specific fate modules separate cerebellar and dentate programs.	High for transcriptomic identity separation.	Rank/meta evidence is not a lineage-tracing experiment.	Emphasize distinct regional fate programs rather than one shared granule-cell fate.	Add trajectory or perturbation literature support for rhombic-lip/SHH and WNT/PROX1 lineage logic.
C03	A formal ortholog-aware shared candidate set exists across the primary-core frame.	Project/results/primary_core_mgi_ortholog_formal_rank_model.md; Project/results/primary_core_manuscript_candidate_tiers.md	17,611 one-to-one genes; 116,013 dataset-level deltas; 1,370 formal shared hits; Tier 1 six-gene seed: GPM6A, NFIB, NFIA, KCNK1, RFX3, GABRA2.	High for rank-meta candidate prioritization.	Does not prove direct causal control of morphology.	Present Tier 1 and Tier 2 as candidate regulators/executors, not proven drivers.	Add external raw-count DE and regulatory-network validation before causal language.
C04	The shared signal is not a simple granule-specific pathway signature.	Project/results/primary_core_granule_specificity_named_comparators.md	Named comparator audit: 0/4 mechanism axes pass strict dentate-granule > pyramidal and cerebellar-granule > Purkinje specificity.	Moderate to high as a claim-safety constraint.	Only GSE104323 and GSE122357 currently provide explicit local named comparators.	State that shared modules are convergent or assembly-related, not uniquely granule-specific.	Add Allen/WMB or other datasets with explicit pyramidal, Purkinje, and granule labels.
C05	Downstream neurite/morphology and synaptic/excitability modules show stronger convergence than upstream fate/niche modules.	Project/results/primary_core_niche_circuit_module_model.md	Formal model: downstream median convergence delta 0.500 versus upstream/niche -0.500; Mann-Whitney p=1.56e-09.	High for module-level convergence.	Gene sets are curated hypothesis modules.	Use as the core biological model: distinct upstream identities converge on downstream neuronal construction machinery.	Test alternate gene-set definitions and pathway databases.
C06	The transcriptomic configuration score is elevated in candidate granule populations across the primary core.	Project/results/primary_core_transcriptomic_configuration_primary_validation.md	52/63 candidate-background contrasts positive; median delta 0.417; Wilcoxon p=4.89e-08; full MGI layer 8/8 positive.	High for primary-core candidate-versus-background validation.	Background contrasts are broader and less specific than named pyramidal/Purkinje comparisons.	Use as broad validation of an assembly-plan signal, while keeping named-comparator caveats visible.	Expand named comparator labels across more datasets.
C07	The assembly-plan signal is identity-coupled rather than a pure morphology-only transcriptomic code.	Project/results/primary_core_configuration_driver_audit.md	56/67 configuration-positive; 28 both-component positive; 27 fate-driven positive; 1 construction-driven positive; primary layer median fate-polarity delta 0.417 and construction delta 0.000.	High as a refinement of the central claim.	Direct morphology is not measured in the transcriptomic data.	Use the phrase identity-coupled transcriptomic assembly configuration.	Audit morphology-linked and spatial/proteomic datasets.
C08	The best downstream morphology/executor candidates are plausible but require direct validation.	Project/results/primary_core_configuration_driver_audit_gene_priorities.tsv	Top shared downstream candidates include GPM6A, ROBO2, DCC, CADM3, STMN2, STMN3, DPYSL2, MAP1B, BASP1, CFL1, RTN1, RTN3.	Moderate.	Expression convergence does not establish necessity or sufficiency.	Frame these genes as prioritized implementation-layer candidates.	Test in perturbation, developmental timing, proteomics, or morphology-linked datasets.
C09	The project is reasonable, novel, and important as either an original in silico paper or a computationally anchored review.	Project/results/manuscript_planning_packet.md	Evidence chain includes strict-core dataset construction, ortholog rank-meta validation, specificity audit, niche/circuit model, configuration validation, and driver audit.	High for project feasibility; novelty strongest if presented as assembly-configuration hypothesis.	Final journal strength depends on external validation depth and figure polish.	Proceed as an analysis paper with a review-style conceptual introduction and discussion.	Add external validation against Allen/spatial/proteomic/morphology-linked resources.
C10	Niche signaling is context-dependent rather than a simple cerebellar-biased TGF-beta/BDNF stop program.	Project/results/primary_core_aim2_niche_pathway_model.md	Pathway modules 336/566 positive; TGF-beta/BDNF 2005 index 48/63 positive overall, but dentate 47/51 positive versus cerebellar 1/12 positive; cerebellar SHH 10/12 positive.	High for pathway-readiness claim; moderate for niche mechanism.	Broad-class pseudobulk is not spatial sender-receiver evidence.	State that TGF-beta/BDNF is a context-dependent maturation/readiness axis, while SHH is the clearest cerebellar pathway signal.	Add spatial or object-level ligand-receptor analysis only if direct niche communication claims are needed.
C11	Sparse expansion coding is computationally plausible under wiring/activity constraints.	Project/results/primary_core_aim3_sparse_coding_model.md	Sparse granule-like parameter zone median useful score 0.192 versus integrator-like 0.121; dense expansion has higher raw score but much lower resource-adjusted score; best resource-adjusted named architecture is balanced_granule_like.	Moderate as conceptual computational validation.	Toy model is not direct biophysical, connectomic, or activity evidence.	Use as computational plausibility, not proof of in vivo circuit performance.	Add morphology, connectomics, activity, or patch-seq validation for direct parameter estimates.
