resource_id	source_type	species	region	modality	evidence_tier	usable_parameters	local_status	recommended_use	main_caveat	source_url
Allen_Cell_Types_ephys	Allen Institute Cell Types Database/API/SDK	Homo sapiens;Mus musculus	cortex;thalamus	whole_cell_current_clamp_electrophysiology;computed_ephys_features;NWB	secondary_comparator_calibration	intrinsic_excitability;firing_rate;input_resistance;tau;rheobase;FI_slope;spike_waveform	API_probe_cached;all_rows=2333;dentate_rows=0;cerebellar_rows=0	Use to calibrate transcriptomic excitability modules against measured neuronal intrinsic physiology and to benchmark non-granule comparator physiology.	Not a direct dentate or cerebellar granule-cell primary dataset in the current API probe.	https://celltypes.brain-map.org/
Allen_Cell_Types_morphology_models	Allen Institute Cell Types Database/API/SDK	Homo sapiens;Mus musculus	cortex;thalamus	morphology_reconstruction;SWC;GLIF_and_biophysical_models	secondary_comparator_calibration	morphology_feature_scaling;single_cell_model_calibration;intrinsic_response_simulation	documentation_verified;not_downloaded	Use only for comparator-cell feature ranges and model-fitting conventions, not for granule-cell morphology claims.	Allen's public overview states data generation has focused on selected cortex and thalamic neurons.	https://allensdk.readthedocs.io/en/latest/cell_types.html
DANDI_000003_DG_granule_mossy_activity	DANDI Archive	Mus musculus	hippocampus;dentate_gyrus_context	extracellular_electrophysiology;behavior;NWB;Units;LFP;Position	primary_activity_validation_for_DG	firing_sparsity;active_fraction;place_field_activity;spatial_information;pattern_separation_behavior_proxy	metadata_cached;files=101;subjects=16;variables=DecompositionSeries,LFP,Units,Position,ElectricalSeries	Use as the main public dentate activity dataset for deriving DG granule-cell firing sparsity and behavior-linked coding metrics.	Large NWB archive; cell identity and unit selection must follow the source paper/metadata carefully.	https://dandiarchive.org/dandiset/000003/0.260218.2052
DANDI_000165_DG_CA3_network_units	DANDI Archive	Mus musculus	DG;CA3;CA1	extracellular_electrophysiology;behavior;NWB;Units;LFP;Position	supporting_network_activity_validation	network_state;DG_CA3_drive;LFP_context;unit_activity_context	metadata_cached;files=572;subjects=64;variables=Units,Position,LFP,SpatialSeries,ElectricalSeries,ElectrodeGroup	Use as supporting hippocampal network physiology, especially for DG/CA3 state context and interneuron modulation.	Not a pure dentate granule-cell morphology/ephys primary dataset.	https://dandiarchive.org/dandiset/000165/0.211118.1526
NeuroMorpho_DG_granule_morphometry	NeuroMorpho.Org API	Homo sapiens;Mus musculus;Rattus norvegicus;other	dentate_gyrus	neuron_reconstruction;morphometry;SWC_metadata	primary_morphology_validation_for_DG	dendrite_stem_count;branch_count;bifurcations;dendritic_length;surface;volume	API_probe_cached;matched_neurons=9672	Use to estimate dentate granule dendritic stem/branch distributions and validate morphology claims against public reconstructions.	Metadata heterogeneity, disease/genotype conditions, and reconstruction completeness need filtering before quantitative fitting.	https://neuromorpho.org/apiReference.html
NeuroMorpho_cerebellar_granule_morphometry	NeuroMorpho.Org API	Homo sapiens;other;limited_mouse_rat_under_strict_query	cerebellum;cerebellar_cortex;granular_layer	neuron_reconstruction;morphometry;SWC_metadata	supporting_morphology_validation_for_cerebellum	dendrite_stem_count;branch_count;bifurcations;dendritic_length;surface;volume	API_probe_cached;matched_neurons=62	Use for cerebellar granule morphology validation, but treat as a small and species-heterogeneous evidence set.	The current strict query returns far fewer cerebellar than dentate granule morphologies.	https://neuromorpho.org/apiReference.html
GSE214905_patch_seq_DG	GEO	Mus musculus	dentate_gyrus	patch_seq;targeted_expression;physiology_linked	supporting_expression_physiology_bridge	intrinsic_excitability_module_bridge;DG_maturation_activity_context	downloaded;already_listed_as_supporting_validation	Use for targeted checks linking DG expression state to physiology, not broad discovery.	Small sample and targeted patch-seq design.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214905
cerebellar_granule_synaptic_input_literature	curated_literature	multiple	cerebellum	reviewed_anatomy;synaptic_input_count	manual_parameter_prior	input_degree;mossy_fiber_rosette_convergence;dendritic_claw_count	not_yet_curated	Use curated numerical priors for cerebellar input-degree ranges until a direct public raw connectomics/ephys source is verified.	Should be cited as literature-derived prior, not public dataset-derived measurement.	
NeuroMorpho_granule_morphometry_validation	local_analysis	Homo sapiens;Mus musculus;Rattus norvegicus;other	dentate_gyrus;cerebellum	neuron_reconstruction;morphometry_validation	first_direct_morphology_validation_for_Aim3	primary_input_sampling_stems_or_claws;dendritic_branch_complexity;dendritic_field_scale	morphometry_sample_built;summary_complete;comparison_complete;plot_complete	Use as empirical morphology validation for the Aim 3 sparse-expansion model; split morphology into primary stems/claws and dendritic-field complexity.	First-pass sample is not final manuscript-grade filtering; cerebellar set is small and species-heterogeneous.	Project/results/neuromorpho_granule_morphometry_validation.md
DANDI_000003_activity_sparsity_pilot	local_analysis;DANDI	Mus musculus	hippocampus;dentate_gyrus_context	extracellular_electrophysiology;behavior;NWB	first_direct_DG_activity_validation_for_Aim3	firing_rate;active_bin_fraction;cell_type_activity;behavior_state_rate	pilot_nwb_downloaded;unit_sparsity_extracted;celltype_summary_complete;state_summary_complete;plot_complete	Use as first direct activity calibration for the Aim 3 output sparsity parameter; granule-cell-labeled units are available in the pilot file.	One session only; temporal activity across sleep/wake is not the same as task-specific pattern-separation sparsity.	Project/results/dandi_000003_activity_sparsity_pilot.md
