test	metric	class_a	class_b	branch_a	branch_b	n_units_a	n_units_b	median_a	median_b	delta_a_minus_b	p_value	note	p_adj_bh	min_unit_cells
primary_core_dentate_identity_contrast_above_zero	identity_rank_contrast	dentate_candidate	greater_0.0	all	threshold	196		0.261432	0	0.261432	7.23965e-23	Dentate candidates should have positive dentate-minus-cerebellar rank.; successes=164/196	7.23965e-22	20
primary_core_dentate_vs_background_identity_separation	identity_rank_contrast	dentate_candidate	non_dentate_background	all	all	196	28	0.261432	-0.198221	0.459653	5.7497e-15	Dentate candidates should separate from non-dentate/background units.	2.87485e-14	20
primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	196	6	0.261432	-0.274172	0.535604	8.86405e-09	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	2.95468e-08	20
mouse_dentate_vs_human_dentate_identity_rank_contrast	identity_rank_contrast	dentate_candidate	dentate_candidate	mouse_dentate	human_dentate_hippocampus	29	167	0.380591	0.209831	0.17076	3.68883e-06	DG-enriched human sources can compress identity contrast; interpret source-aware.	9.22207e-06	20
mouse_dentate_vs_human_dentate_structural_rank	structural_rank	dentate_candidate	dentate_candidate	mouse_dentate	human_dentate_hippocampus	29	167	0.674853	0.54079	0.134063	7.87357e-06	Checks whether human dentate bridge and mouse dentate units differ strongly on structural rank.	1.57471e-05	20
primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	196		0.554508	0.5	0.0545085	7.01158e-05	Dentate candidates should be above the within-sample structural median.; successes=125/196	0.00011686	20
human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	167		0.54079	0.5	0.04079	0.00652036	Human dentate/hippocampal candidate units should retain structural-program support.; successes=100/167	0.0093148	20
primary_core_dentate_vs_cerebellar_structural_convergence	structural_rank	dentate_candidate	cerebellar_candidate	all	all	196	6	0.554508	0.705147	-0.150639	0.00840384	Structural rank tests magnitude difference after establishing that both groups are above the within-sample structural median.	0.0105048	20
primary_core_cerebellar_identity_contrast_below_zero	identity_rank_contrast	cerebellar_candidate	less_0.0	all	threshold	6		-0.274172	0	-0.274172	0.015625	Cerebellar candidates should have negative dentate-minus-cerebellar rank.; successes=6/6	0.015625	20
primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	6		0.705147	0.5	0.205147	0.015625	Cerebellar candidates should be above the within-sample structural median.; successes=6/6	0.015625	20
