node	accession	title	model_or_tissue	modality	perturbation_or_design	relevance_to_project	recommended_use	caveat	source_url
NFIA	GSE146793	Common regulatory targets of NFIA, NFIX and NFIB during postnatal cerebellar development	mouse postnatal cerebellar granule neuron progenitors	ChIP-seq; reported RNA-seq integration	NFIA/NFIB/NFIX binding in P7 GNPs; study reports integration with Nfia/Nfix-deficient GNP transcriptomics	high	Define NFIA direct-target/regulatory prior for cerebellar granule progenitors; compare target genes with our granule construction and fate modules.	GEO sample list is ChIP-seq-centered; perturbation RNA-seq availability needs paper/supplement check before full causal fitting.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146793
NFIA	GSE146000	Regional gene expression profiling upon loss of NFIA in adult astrocytes	mouse olfactory bulb, hippocampus, cortex, brainstem astrocytes	bulk RNA-seq	conditional NFIA knockout in adult astrocytes including hippocampus	medium	Use as a niche/glial NFIA perturbation signature, especially for hippocampal astrocyte context.	Not neuronal and not granule lineage; useful for niche/regulatory support, not direct granule morphology causality.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146000
NFIA	GSE240360	Dynamic Chromatin Alteration Induces Oncogenic Hijacking by Essential Transcriptional Factors during Medulloblastoma Tumorigenesis [ATAC-Seq]	mouse GNP-to-SHH-medulloblastoma models and medulloblastoma cell lines	ATAC-seq	siNfia and siNfib in mouse SHH-medulloblastoma cell line; GNP/tumor chromatin states	medium_high	Test whether NFIA-linked regulatory accessibility in SHH-medulloblastoma overlaps our cerebellar granule construction/fate modules.	Tumor context; not normal developmental granule-cell morphology.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240360
BDNF_GSE242199	GSE242199	Role of NTRK2 on ReNcelVM differentiation	human ReNcell VM neural progenitor/stem cell line	RNA-seq	NTRK2 knockout; BDNF versus vehicle at 3h and 24h	high	Build BDNF/TrkB causal-response signature for human neural progenitor differentiation; compare with dentate and cerebellar stage-window signatures.	Not dentate/cerebellar granule lineage; cell-line model.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242199
BDNF_GSE243110	GSE243110	A TrkB and TrkC partial agonist prevents synaptic plasticity deficits and elicits activity-dependent synaptic and microglial transcriptomic changes	mouse hippocampal/AD-plasticity context	RNA-seq or related transcriptomic profiling	TrkB/TrkC partial agonist treatment	medium	Use as hippocampal BDNF/TrkB pathway response validation, especially synaptic/plasticity modules.	Disease/plasticity context, not developmental granule fate; requires metadata triage before use.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243110
BDNF_GSE282950	GSE282950	BDNF augmentation reverses cranial radiation therapy-induced cognitive decline and neurodegenerative consequences	mouse hippocampus	spatial transcriptomics	BDNF augmentation with or without cranial radiation therapy	medium	Use as hippocampal spatial BDNF-response evidence and compare with dentate neurogenesis/readiness modules.	Radiation injury/rescue context; not clean developmental perturbation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282950
BDNF_GSE107252	GSE107252	Chronic Crebbp knockout in cerebellar granule neuron precursors [development]	mouse cerebellar granule neuron precursors/cerebellum	microarray	Math1/Atoh1-lineage Crebbp knockout; associated Bdnf down-regulation	medium_high	Use as cerebellar GNP developmental perturbation that connects chromatin regulation, Bdnf, and granule precursor development.	Not BDNF perturbation itself; array-based and Crebbp-centered.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107252
TGFBeta	GSE92395	Neural precursor cell-secreted TGF-beta2 subverts inflammatory program during CNS autoimmunity	mouse CNS immune/niche response	RNA-seq	NPC treatment; TGF-beta2 knockout NPCs are ineffective in vivo/in vitro	medium	Use as secreted TGF-beta2 causal niche signature, relevant to conditioned-medium logic.	Responder cells are monocyte-derived dendritic/myeloid cells, not granule cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92395
TGFBeta	GSE307973	TGF-beta and IL-4+IL-13 induce neuroplasticity in an in vitro model of hPSC-derived sensory neurons	human iPSC-derived sensory neurons	RNA-seq	TGF-beta and cytokine treatments	medium	Use as neuronal TGF-beta response signature for neurite/plasticity modules.	Sensory neuron/asthma model, not hippocampal or cerebellar granule lineage.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307973
TGFBeta_SMAD	GSE317025	Wnt Activation and Dual SMAD Inhibition for hindbrain-like neural stem cells [scRNA-seq]	human iPSC-derived hindbrain-like neural stem cells	scRNA-seq	Wnt activation and dual SMAD inhibition	medium_high	Use as hindbrain/cerebellar-region stem-cell SMAD/Wnt context signature.	Pathway-patterning model rather than TGFB ligand perturbation; not mature granule cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE317025
SHH	GSE81962	Norrin-dependent gene expression in cerebellar granule neuron progenitors	mouse P6 cerebellar GNPs and Ptch medulloblastoma	array	WT, Ptch+/-, Ndp knockout, Ndp knockout/Ptch+/- GNP and tumor comparisons	high	Use as direct cerebellar GNP/Ptch-SHH pathway perturbation context; strong candidate for causal extension.	Array-based and includes stromal/Norrin axis, not pure SHH ligand treatment.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81962
