dataset	core_branch	core_role	species	region	modality	local_status	primary_reason	current_use	caveat
GSE104323	mouse_dentate	primary mouse dentate reference	mouse	dentate_gyrus	10x_scRNA_seq	downloaded;refined_backbone_scored	Best annotated mouse dentate granule lineage plus non-dentate controls.	Defines dentate identity separation and non-dentate/background contrast in the refined backbone.	Mouse dataset; cross-species claims require ortholog-aware modeling.
GSE95752	mouse_dentate	mouse dentate maturation validation	mouse	dentate_gyrus	C1_scRNA_seq	downloaded;refined_backbone_scored	Independent dentate single-cell maturation resource with many dentate candidate units.	Validates dentate granule maturation and structural-program behavior.	Older C1 platform; use as validation, not sole discovery backbone.
GSE292261	mouse_dentate	mouse postnatal dentate developmental validation	mouse	dentate_gyrus	Smart_seq2	downloaded;curated;refined_backbone_scored	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.
GSE214309	mouse_dentate	mouse adult/activity-state dentate validation	mouse	dentate_gyrus	snRNA_seq	downloaded;curated;refined_backbone_scored	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.
GSE122357	cerebellum	primary mouse cerebellar developmental comparison	mouse	cerebellum	scRNA_seq	downloaded;refined_backbone_scored	Best current cerebellar developmental granule-cell anchor.	Defines cerebellar candidate identity and structural-program convergence.	Developmental cerebellum; stage effects must be modeled.
GSE165657	cerebellum	primary human cerebellar validation	human	cerebellum	10x_scRNA_seq	downloaded;refined_backbone_scored	Large human cerebellum aggregate for cross-species cerebellar validation.	Provides human-side cerebellar granule validation in the backbone.	Aggregate metadata limits fine sample-aware inference.
GSE312658	cerebellum	mouse cerebellar perturbation validation	mouse	cerebellum	10x_scRNA_seq	downloaded;refined_backbone_scored	Control/cKO cerebellum dataset useful for perturbation sensitivity.	Validates robustness of cerebellar and structural modules under perturbation.	Perturbation biology should not define baseline identity.
GSE186538	human_dentate_hippocampus	human DG taxonomy anchor	human	dentate_gyrus;hippocampal_entorhinal	snRNA_seq	human_files_downloaded;sparse_subset_built;normalized_reduced_object_built;labels_tuned	Explicit human DG GC PROX1-labeled subset gives the strongest human dentate taxonomy anchor.	Anchors human DG granule labels and the tuned human-core convention.	Pig/rhesus portions are deferred; current core uses the human DG subset.
GSE325391	human_dentate_hippocampus	primary adult human dentate anchor	human	dentate_gyrus	single_nucleus_or_single_cell_expression	adult_rds_downloaded;selected_sparse_bridge_built;human_core_label_projected	Direct adult human dentate granule-cell nuclei from dentate punch samples.	Provides primary adult human DG anchor in the human bridge.	DG-enriched source is better for state/structural anchoring than within-sample DG-vs-CB contrast.
GSE268609	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	human	hippocampus;dentate_gyrus	snRNA_seq_snATAC_multiome	source_listing_saved;geo_metadata_curated;rna_selected_npz_built;human_core_label_projected;diagnosis_module_tests_complete	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.
