dataset	n_samples	region	platform	species	total_cells_or_spots	observations_from_audit	dentate_candidate_cells_or_spots	cerebellar_candidate_cells_or_spots	cerebellum_warning_cells_or_spots	best_priority_score	priority_tiers	recommended_roles	main_use	caveats
GSE104323	1	dentate_gyrus	10x	mouse	24185	24185	9833	0	0	10.0	core	core dentate annotated reference and non-dentate controls	Use for primary object-level analysis: core dentate annotated reference and non-dentate controls.	suitable for next-phase object-level curation
GSE122357	3	cerebellum	single_cell_RNA_seq	mouse	21724	21724	0	7457	1171	10.0	core	core cerebellar postnatal developmental comparison	Use for primary object-level analysis: core cerebellar postnatal developmental comparison.	contains cerebellum warning calls; keep strict identity and shared structural modules separate
GSE165657	1	cerebellum	10x	human	73550	73550	0	25064	12154	10.0	core	core cerebellar large atlas-style validation	Use for primary object-level analysis: core cerebellar large atlas-style validation.	contains cerebellum warning calls; keep strict identity and shared structural modules separate
GSE312658	2	cerebellum	10x	mouse	11803	11803	0	4158	2090	10.0	core	core cerebellar perturbation validation	Use for primary object-level analysis: core cerebellar perturbation validation.	contains cerebellum warning calls; keep strict identity and shared structural modules separate
GSE95752	1	dentate_gyrus	C1	mouse	2303	2303	987	0	0	8.5	core	core dentate single-cell maturation validation	Use for primary object-level analysis: core dentate single-cell maturation validation.	suitable for next-phase object-level curation
GSE292261	1	dentate_gyrus	Smart_seq2	mouse	509	509	196	0	0	7.5	core	core dentate postnatal developmental trajectory	Use for primary object-level analysis: core dentate postnatal developmental trajectory.	suitable for next-phase object-level curation
GSE214309	1	dentate_gyrus	snRNA_seq	mouse	401	401	146	0	0	7.0	core	core dentate adult/activity-state validation	Use for primary object-level analysis: core dentate adult/activity-state validation.	suitable for next-phase object-level curation
GSE242688	2	cerebellum_spatial	visium_spatial	mouse	5700	5700	0	303	1707	7.5	supporting	supporting cerebellar spatial/proteomics-linked validation	Use as validation/supporting evidence, not as the main discovery set: supporting cerebellar spatial/proteomics-linked validation.	contains cerebellum warning calls; keep strict identity and shared structural modules separate; spatial/proteomics-linked spots are not single cells
GSE214905	1	dentate_gyrus	patch_seq	mouse	95	95	38	0	0	4.5	supporting	supporting dentate patch-seq physiology-linked validation	Use as validation/supporting evidence, not as the main discovery set: supporting dentate patch-seq physiology-linked validation.	small patch-seq sample; best for targeted validation; small observation count
GSE150153	2	organoid	10x	human	2512	2512	0	0	0	2.0	context	context organoid granule-like comparison	Use for biological context or review synthesis: context organoid granule-like comparison.	organoid metadata were previously flagged as unmatched
