term_symbol	term	hierarchy_level	unit_of_observation	model_role	default_weight	quality_class	source_table	interpretation	caveat
Y	GranuleDesign	sample_contrast	dataset/sample candidate-background contrast	response or primary outcome	1.0	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Granule candidates show a higher combined regional-fate plus downstream-construction configuration than local backgrounds.	This is transcriptomic configuration, not direct morphology.
F	FatePolarity	sample_contrast	dataset/sample candidate-background contrast	core predictor	0.9	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Branch-matched regional-fate programs exceed opposed fate programs.	Fate polarity separates dentate and cerebellar origins rather than proving one shared origin.
C	ConstructionBalance	sample_contrast	dataset/sample candidate-background contrast	core predictor	0.9	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Downstream neurite, synaptic, and excitability modules exceed progenitor/niche-state modules.	Many neurons use construction genes; specificity depends on configuration, stage, and circuit context.
I	ConfigurationCoupling	sample_contrast	dataset/sample candidate-background contrast	interaction term	0.8	direct_primary_core_decomposition	primary_core_configuration_driver_audit_contrasts.tsv	Regional fate and construction balance are simultaneously positive in the same contrast.	This is a sign-coupling audit, not a fitted molecular interaction coefficient.
T	Stage/Pseudotime	branch_stage	branch/signature stage-window summary	branch- or stage-level predictor	0.65	stage_branch_model	aim2_stage_window_model_branch_summary.tsv	Maturation, permissive, and TGF-beta/BDNF axes are stage-windowed rather than static.	Stage coverage is richer for dentate than cerebellum in the current local core.
N	NicheSignal	branch_context	pathway or sender-receiver branch summary	branch-context predictor	0.75	expression_niche_model	primary_core_aim2_pathway_summary.tsv; aim2_sender_receiver_lr_summary.tsv	Local pathway and ligand-receptor readiness provide branch-specific permissive or differentiating contexts.	Expression support does not prove ligand secretion, spatial contact, or receptor activation.
E	EpigenomicCompatibility	epigenomic_sensitivity	human cerebellar marker-group/cluster-supported contrast	regulatory-compatibility sensitivity term	0.45	provisional_epigenomic_extension	gse322785_epigenomic_robust_positive_contrasts.tsv	Accessibility/RNA selected-feature targets near fate, construction, niche, or candidate genes support granule-candidate regulatory compatibility.	GSE322785 labels are provisional and matched dentate peak-count scoring is not yet restored.
M	MorphologySparseSampling	external_calibration	NeuroMorpho branch comparison or calibration target	morphology prior/calibration	0.6	external_empirical_calibration	neuromorpho_granule_morphometry_comparison.tsv; aim3_empirical_calibration_targets.tsv	Public reconstructions support sparse primary input sampling plus nontrivial branch complexity.	Morphology measurements are not matched to transcriptomic cells and stems are not synapse counts.
A	ActivitySparsity	external_calibration	DANDI dentate electrophysiology summary	activity prior/calibration	0.55	external_empirical_calibration	dandi_000003_multisession_spatial_celltype_pooled.tsv; dandi_000003_multisession_population_vector_separation.tsv	Dentate granule-labeled units show spatial information and restricted active-bin occupancy.	This is dentate-only activity support and does not directly validate cerebellar physiology.
R	CircuitResourceConstraint	simulation_calibration	architecture-level simulation/calibration summary	resource constraint term	0.6	computational_simulation	aim3_empirical_calibration_architecture_summary.tsv	Resource-constrained scoring favors intermediate or sparse granule-like expansion over dense or excessive-sparsity extremes.	Simulation terms are mathematical constraints, not direct developmental causes.
