resource_group	component_id	source_type	species	region	modality	sample_scope	local_status	recommended_tier	integration_role	acquisition_note	source_url
human_dentate_core_construction	GSE185277	GEO	Homo sapiens	hippocampus;dentate_granule_immature_neuron_focus	snRNA_seq	5 GEO samples across postnatal lifespan	raw_downloaded;sparse_objects_built;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	core_build_first_human_dentate_reference	human imGC marker scaffold and lifespan neurogenesis framing	7 sparse libraries built, QC-harmonized, marker-scored, GEO metadata curated, included in the normalized reduced human-core object, label-tuned, and module-tested	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185277
human_dentate_core_construction	GSE185553	GEO	Homo sapiens	hippocampus	snRNA_seq	5 GEO samples, broader human hippocampus across lifespan	raw_downloaded;sparse_objects_built;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	core_build_first_human_hippocampus_reference	broader human hippocampal context for GSE185277	27 sparse libraries built, QC-harmonized, marker-scored, GEO metadata curated, included in the normalized reduced human-core object, label-tuned, and module-tested	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185553
human_dentate_core_construction	GSE186538	GEO	Homo sapiens;Macaca mulatta;Sus scrofa	dentate_gyrus;hippocampal_entorhinal	snRNA_seq	human, macaque, and pig hippocampal-entorhinal nuclei; prioritize human DG-labelled material	human_files_downloaded;sparse_subset_built;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	core_build_first_human_dg_taxonomy	human DG taxonomy and cross-species reference	32,067 DG GC sparse subset built, QC-harmonized, marker-validated, donor-curated, included in the normalized reduced human-core object, and used as the tuned-label DG anchor	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186538
human_dentate_core_construction	GSE325391	GEO	Homo sapiens	dentate_gyrus	single_nucleus_or_single_cell_expression	adult human dentate gyrus punch and fetal hippocampal material	adult_rds_downloaded;geo_metadata_curated;rds_inspected;selected_sparse_bridge_built;human_core_label_projected	core_build_first_human_dentate_primary	primary modern adult human dentate comparator	adultgc RDS downloaded and inspected; 59,075 adult DG nuclei mapped into the human-core selected feature space and label convention; fetal RDS remains deferred	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325391
human_dentate_core_construction	GSE268609	GEO	Homo sapiens	hippocampus	snRNA_seq;snATAC_seq_multiome	human hippocampal neurogenesis across aging, MCI, and AD	source_listing_saved;geo_metadata_curated;rna_matrix_barcodes_features_downloaded;rna_selected_npz_built;human_core_label_projected;diagnosis_module_tests_complete;atac_and_full_rds_deferred	core_build_first_human_hippocampus_multiome	broader human hippocampal RNA/multiome expansion	RNA matrix/barcodes/features downloaded; 39 RNA samples and 366,175 nuclei/barcodes streamed into a 2,169 selected-gene human-core object with projected labels and first-pass diagnosis module tests; ATAC fragments and full Seurat object remain deferred	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268609
human_dentate_core_construction	human_bridge_backbone_rank	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	rank_summary	635 summarized units across refined backbone plus human bridge objects	units_built;statistics_complete;source_summary_complete;plot_complete	integrated_comparative_bridge	current identity-versus-structural-convergence bridge	Use as current figure-planning layer; 546 units pass the >=20 cells/spots statistics threshold; not a substitute for a single fully harmonized expression object	Project/results/human_bridge_backbone_rank_integration.md
human_dentate_core_construction	human_bridge_candidate_gene_packet	local_analysis	Homo sapiens	dentate_gyrus;hippocampus	marker_gene_summary	67 refined panel genes across human bridge objects	gene_summary_complete;candidate_packet_complete;structural_plot_complete	manuscript_planning_gene_packet	first regional-identity versus shared-structural-executor shortlist	Use as hypothesis shortlist for figure planning; replace/refine after ortholog-aware DE modeling	Project/results/human_bridge_candidate_gene_packet.md
human_dentate_core_construction	primary_core_ortholog_module_analysis	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	marker_panel_module_analysis	10 primary core datasets; 418 units; 361 eligible units	ortholog_marker_map_complete;primary_units_complete;statistics_complete;leave_one_dataset_out_complete;plot_complete	formal_primary_core_module_analysis	first strict-core marker-panel module result	Use as formal module-level evidence for identity separation plus shared elevated structural axis; next step is genome-wide ortholog-aware DE	Project/results/primary_core_ortholog_module_analysis.md
human_dentate_core_construction	primary_core_candidate_gene_pseudobulk	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	candidate_gene_pseudobulk	10 primary core datasets; 67 genes; 16,719 pseudobulk rows	candidate_expression_complete;coverage_complete;statistics_complete;hits_complete;plot_complete	strict_core_candidate_gene_analysis	first DE-adjacent shared structural-executor screen	Use as candidate-gene evidence layer for shared structural executors versus regional identity/wiring genes; next expand to genome-wide ortholog-aware pseudobulk or mixed-effect DE	Project/results/primary_core_candidate_gene_pseudobulk_analysis.md
human_dentate_core_construction	primary_core_expanded_gene_pseudobulk	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	selected_gene_pseudobulk	10 primary core datasets; 2,169 genes; 537,070 pseudobulk rows	expanded_expression_complete;coverage_complete;statistics_complete;shared_hits_complete;branch_specific_complete;plot_complete;mechanism_triage_complete	strict_core_selected_gene_discovery	broad selected-gene discovery and mechanism triage before whole-transcriptome DE	Use to prioritize mechanism candidates and separate structural/wiring/regulatory genes from broad neuronal/context genes; next step is true genome-wide ortholog-aware DE	Project/results/primary_core_expanded_gene_pseudobulk_analysis.md
