figure	panel	purpose	source_outputs	ready_now	next_action
Figure 1	A	Introduce the biological puzzle from prior thesis/paper: similar compact granule-cell morphology in dentate gyrus and cerebellum despite distinct anatomy.	Literature folder; Project/results/integrated_primary_core_datasets.md	Partly	Extract or redraw historical morphology/circuit schematics with permissions-safe original diagrams.
Figure 1	B	Show distinct developmental origins and circuit constraints: dentate WNT/PROX1 branch versus cerebellar rhombic-lip/SHH branch.	Project/results/primary_core_niche_circuit_module_model.md	Yes	Build clean schematic with branch-specific upstream modules and shared downstream convergence layer.
Figure 1	C	Show the 10-dataset strict primary core and scaffold/supporting datasets.	Project/results/integrated_primary_core_datasets.tsv; Project/results/candidate_resource_inventory.tsv	Yes	Convert to a compact dataset-map graphic.
Figure 2	A	Show the ortholog-aware analysis workflow from datasets to pseudobulk ranks to formal shared hits.	Project/results/primary_core_mgi_ortholog_formal_rank_model.md	Yes	Assemble workflow graphic.
Figure 2	B	Show Tier 1 and Tier 2 candidate genes.	Project/results/primary_core_manuscript_candidate_tiers.tsv	Yes	Build heatmap/table using Tier 1 and Tier 2 only for main figure.
Figure 2	C	Show mechanism-axis organization: regulatory, neurite/cytoskeleton, guidance/adhesion, synaptic/excitability.	Project/results/primary_core_mechanism_axis_model.png	Yes	Use existing plot or rebuild at publication size.
Figure 3	A	Show the named-comparator specificity audit and the failure of a simple granule-specific pathway claim.	Project/results/primary_core_granule_specificity_named_comparators.png	Yes	Keep as claim-safety panel.
Figure 3	B	Show upstream/niche versus downstream circuit/morphology formal convergence.	Project/results/primary_core_niche_circuit_module_model.png	Yes	Use existing plot or split into formal and named-comparator panels.
Figure 4	A	Define the transcriptomic configuration formula: construction-over-niche balance plus regional fate polarity.	Project/results/primary_core_transcriptomic_configuration_model.md	Yes	Make formula schematic.
Figure 4	B	Show local named granule-versus-comparator configuration results.	Project/results/primary_core_transcriptomic_configuration_model.png	Yes	Use with clear small-n caveat.
Figure 4	C	Show primary-core validation of configuration score across 63 contrasts.	Project/results/primary_core_transcriptomic_configuration_primary_validation.png	Yes	Use as main statistical validation panel.
Figure 4	D	Show driver audit decomposition: both-component, fate-driven, construction-driven, and not-positive contrasts.	Project/results/primary_core_configuration_driver_audit.png	Yes	Use as claim-refinement panel.
Figure 5	A	Show Aim 2 niche/pathway result: context-dependent TGF-beta/BDNF readiness, dentate pathway enrichment, and cerebellar SHH enrichment.	Project/results/primary_core_aim2_niche_pathway_model.png; Project/results/primary_core_aim2_niche_pathway_model.md	Yes	Use as pathway-readiness panel with spatial sender-receiver caveat.
Figure 5	B	Show fitted trajectory refinement: TGF-beta/BDNF/SMAD/ERK and secreted-stop modules are branch-specific stage-window overlays, not the global pseudotime driver.	Project/results/aim2_stage_window_model.png; Project/results/aim2_stage_window_model.md; Project/results/primary_core_full_transcriptome_diffusion.md	Yes	Use as fitted Aim 2 stage-window panel.
Figure 5	C	Show Aim 3 empirical sparse expansion-coding calibration: raw dense-expansion score versus morphology/activity/resource-constrained sparse granule-like design.	Project/results/aim3_empirical_calibration.png; Project/results/aim3_empirical_calibration.md; Project/results/primary_core_aim3_sparse_coding_model.md; Project/results/neuromorpho_granule_morphometry_validation.md; Project/results/dandi_000003_multisession_spatial_extension.md	Yes	Use as computational plausibility and empirical-calibration panel.
Figure 5	D	Present revised final model: regional fate inputs pass through a pseudotime/stage window into identity-coupled assembly configuration, modulated by windowed cues and resource-constrained sparse expansion.	Project/results/manuscript_figures/figure5_aim2_aim3_final_model.png; Project/results/aim2_stage_window_model.md; Project/results/aim3_empirical_calibration.md; Project/results/specific_aims_completion_audit.md	Yes	Use as the final mechanistic model panel.
Figure 6	A	Integrate the Fig1 primary-core frame, Fig2 candidate tiers/shared toolkit, Fig4 configuration logic, Fig5 fitted stage-window/computation logic, and NeuroMorpho/DANDI validation into one working model.	Project/results/manuscript_figures/figure6_integrated_working_model.png; Project/results/manuscript_figures/manuscript_figure_assembly.md; Project/results/aim2_stage_window_model.md; Project/results/aim3_empirical_calibration.md; Project/results/neuromorpho_granule_morphometry_validation.md; Project/results/dandi_000003_multisession_spatial_extension.md	Yes	Use as graphical abstract or final synthesis figure.
