held_out_dataset	n_eligible_units	test	metric	class_a	class_b	branch_a	branch_b	n_units_a	n_units_b	median_a	median_b	delta_a_minus_b	p_value	note	p_adj_bh	min_unit_cells
none	361	primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	196	6	0.261432	-0.274172	0.535604	8.86405e-09	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	2.95468e-08	20
none	361	primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	196		0.554508	0.5	0.0545085	7.01158e-05	Dentate candidates should be above the within-sample structural median.; successes=125/196	0.00011686	20
none	361	human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	167		0.54079	0.5	0.04079	0.00652036	Human dentate/hippocampal candidate units should retain structural-program support.; successes=100/167	0.0093148	20
none	361	primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	6		0.705147	0.5	0.205147	0.015625	Cerebellar candidates should be above the within-sample structural median.; successes=6/6	0.015625	20
GSE104323	337	primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	192	6	0.25659	-0.274172	0.530761	1.00095e-08	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	5.00476e-08	20
GSE104323	337	primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	192		0.554508	0.5	0.0545085	5.94896e-05	Dentate candidates should be above the within-sample structural median.; successes=123/192	9.91494e-05	20
GSE104323	337	human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	167		0.54079	0.5	0.04079	0.00652036	Human dentate/hippocampal candidate units should retain structural-program support.; successes=100/167	0.0093148	20
GSE104323	337	primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	6		0.705147	0.5	0.205147	0.015625	Cerebellar candidates should be above the within-sample structural median.; successes=6/6	0.015625	20
GSE122357	352	primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	196		0.554508	0.5	0.0545085	7.01158e-05	Dentate candidates should be above the within-sample structural median.; successes=125/196	0.00011686	20
GSE122357	352	primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	196	3	0.261432	-0.507412	0.768844	6.33841e-05	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	0.00011686	20
GSE122357	352	human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	167		0.54079	0.5	0.04079	0.00652036	Human dentate/hippocampal candidate units should retain structural-program support.; successes=100/167	0.0093148	20
GSE122357	352	primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	3		0.665431	0.5	0.165431	0.125	Cerebellar candidates should be above the within-sample structural median.; successes=3/3	0.125	20
GSE165657	358	primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	196	5	0.261432	-0.276383	0.537815	2.23048e-08	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	7.43494e-08	20
GSE165657	358	primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	196		0.554508	0.5	0.0545085	7.01158e-05	Dentate candidates should be above the within-sample structural median.; successes=125/196	0.00011686	20
GSE165657	358	human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	167		0.54079	0.5	0.04079	0.00652036	Human dentate/hippocampal candidate units should retain structural-program support.; successes=100/167	0.0093148	20
GSE165657	358	primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	5		0.700784	0.5	0.200784	0.03125	Cerebellar candidates should be above the within-sample structural median.; successes=5/5	0.03125	20
GSE186538	355	primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	190	6	0.270313	-0.274172	0.544485	1.06466e-08	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	3.54886e-08	20
GSE186538	355	primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	190		0.556273	0.5	0.056273	0.000306282	Dentate candidates should be above the within-sample structural median.; successes=119/190	0.00051047	20
GSE186538	355	primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	6		0.705147	0.5	0.205147	0.015625	Cerebellar candidates should be above the within-sample structural median.; successes=6/6	0.0173611	20
GSE186538	355	human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	161		0.544474	0.5	0.044474	0.0200603	Human dentate/hippocampal candidate units should retain structural-program support.; successes=94/161	0.0200603	20
GSE214309	352	primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	194	6	0.266543	-0.274172	0.540714	9.41649e-09	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	3.13883e-08	20
GSE214309	352	primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	194		0.553943	0.5	0.0539435	0.000115886	Dentate candidates should be above the within-sample structural median.; successes=123/194	0.000193143	20
GSE214309	352	human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	167		0.54079	0.5	0.04079	0.00652036	Human dentate/hippocampal candidate units should retain structural-program support.; successes=100/167	0.00820231	20
GSE214309	352	primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	6		0.705147	0.5	0.205147	0.015625	Cerebellar candidates should be above the within-sample structural median.; successes=6/6	0.015625	20
GSE268609	170	primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	83	6	0.0155992	-0.274172	0.289771	1.33538e-06	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	3.33846e-06	20
GSE268609	170	primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	83		0.558001	0.5	0.058001	0.0020196	Dentate candidates should be above the within-sample structural median.; successes=55/83	0.00403921	20
GSE268609	170	primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	6		0.705147	0.5	0.205147	0.015625	Cerebellar candidates should be above the within-sample structural median.; successes=6/6	0.0195312	20
GSE268609	170	human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	54		0.500112	0.5	0.000112	0.248309	Human dentate/hippocampal candidate units should retain structural-program support.; successes=30/54	0.248309	20
GSE292261	352	primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	192	6	0.25659	-0.274172	0.530761	1.00095e-08	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	3.33651e-08	20
GSE292261	352	primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	192		0.553943	0.5	0.0539435	0.0001073	Dentate candidates should be above the within-sample structural median.; successes=122/192	0.000178833	20
GSE292261	352	human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	167		0.54079	0.5	0.04079	0.00652036	Human dentate/hippocampal candidate units should retain structural-program support.; successes=100/167	0.00918799	20
GSE292261	352	primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	6		0.705147	0.5	0.205147	0.015625	Cerebellar candidates should be above the within-sample structural median.; successes=6/6	0.015625	20
GSE312658	355	primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	196	4	0.261432	-0.184846	0.446279	7.4515e-06	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	1.57471e-05	20
GSE312658	355	primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	196		0.554508	0.5	0.0545085	7.01158e-05	Dentate candidates should be above the within-sample structural median.; successes=125/196	0.00011686	20
GSE312658	355	human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	167		0.54079	0.5	0.04079	0.00652036	Human dentate/hippocampal candidate units should retain structural-program support.; successes=100/167	0.0093148	20
GSE312658	355	primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	4		0.721821	0.5	0.221821	0.0625	Cerebellar candidates should be above the within-sample structural median.; successes=4/4	0.0625	20
GSE325391	305	primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	148	6	0.310543	-0.274172	0.584715	1.19139e-10	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	3.97128e-10	20
GSE325391	305	primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	148		0.560316	0.5	0.0603165	5.34153e-06	Dentate candidates should be above the within-sample structural median.; successes=101/148	1.33538e-05	20
GSE325391	305	human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	119		0.542671	0.5	0.042671	0.00159159	Human dentate/hippocampal candidate units should retain structural-program support.; successes=76/119	0.00265265	20
GSE325391	305	primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	6		0.705147	0.5	0.205147	0.015625	Cerebellar candidates should be above the within-sample structural median.; successes=6/6	0.0173611	20
GSE95752	313	primary_core_dentate_vs_cerebellar_identity_separation	identity_rank_contrast	dentate_candidate	cerebellar_candidate	all	all	177	6	0.232282	-0.274172	0.506454	1.61602e-08	Primary test: dentate candidates should be dentate-rank high and cerebellar candidates cerebellar-rank high.	5.38674e-08	20
GSE95752	313	primary_core_dentate_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	all	threshold	177		0.543097	0.5	0.043097	0.00332283	Dentate candidates should be above the within-sample structural median.; successes=107/177	0.00707153	20
GSE95752	313	human_dentate_branch_structural_rank_above_median	structural_rank	dentate_candidate	greater_0.5	human_dentate_hippocampus	threshold	167		0.54079	0.5	0.04079	0.00652036	Human dentate/hippocampal candidate units should retain structural-program support.; successes=100/167	0.0108673	20
GSE95752	313	primary_core_cerebellar_structural_rank_above_median	structural_rank	cerebellar_candidate	greater_0.5	all	threshold	6		0.705147	0.5	0.205147	0.015625	Cerebellar candidates should be above the within-sample structural median.; successes=6/6	0.0195312	20
