dataset	tier	status	region	species	modality	role	rationale	next_action
GSE104323	core_current	downloaded	dentate_gyrus	mouse	10x_scRNA_seq	primary dentate reference	Annotated dentate granule lineage plus non-dentate controls; strongest current dentate anchor.	Build normalized object and preserve source annotations.
GSE95752	core_current	downloaded	dentate_gyrus	mouse	C1_scRNA_seq	dentate maturation validation	Independent mouse dentate single-cell support with maturation structure.	Build normalized object and harmonize with GSE104323.
GSE292261	core_current	downloaded	dentate_gyrus	mouse	Smart-seq2	dentate postnatal developmental validation	Promoted after curation; gene symbols and postnatal stage metadata are usable.	Build object and align clusters/stages to dentate lineage states.
GSE214309	core_current	downloaded	dentate_gyrus	mouse	snRNA_seq	dentate maturation/activity validation	Promoted after curation; strong mature/immature and active/inactive labels.	Add full Ensembl-to-symbol mapping for whole-transcriptome object analysis.
GSE122357	core_current	downloaded	cerebellum	mouse	scRNA_seq	primary cerebellar developmental comparison	Best current mouse cerebellar developmental granule-cell anchor.	Build normalized object and annotate cerebellar granule lineage.
GSE165657	core_current	downloaded	cerebellum	human	10x_scRNA_seq	primary human cerebellar validation	Large human cerebellar dataset for cross-species cerebellar validation.	Build normalized object and define human cerebellar granule candidates.
GSE312658	core_current	downloaded	cerebellum	mouse	10x_scRNA_seq	regulatory perturbation validation	Mouse cerebellar Ctrl/cKO data useful for perturbation sensitivity of granule programs.	Build separate control/cKO objects and compare module robustness.
GSE185277	core_build_first_human_dentate_reference	raw_downloaded;sparse_objects_built;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	hippocampus_dentate_gyrus	human	snRNA_seq	rapid human immature-granule scaffold	Nature 2022 human hippocampal imGC lifespan resource; sparse objects now provide a marker-scored, age-curated, label-tuned human dentate-oriented construction seed inside the normalized reduced object.	Use the tuned human DG/imGC and background labels as part of the integrated human bridge/backbone comparison.
GSE185553	core_build_first_human_hippocampus_reference	raw_downloaded;sparse_objects_built;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	hippocampus	human	snRNA_seq	companion human hippocampus reference	Companion broader hippocampal resource for GSE185277; sparse objects now help separate DG/imGC markers from broader hippocampal neuronal and background states with tuned labels and module tests.	Use tuned labels as broader hippocampal context in the integrated human bridge/backbone comparison.
GSE186538	core_build_first_human_dg_taxonomy	human_files_downloaded;sparse_subset_built;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	dentate_gyrus;hippocampal_entorhinal	human;macaque;pig	snRNA_seq	human DG taxonomy and cross-species reference	Important human DG taxonomy and cross-species reference; explicit DG GC PROX1 labels are now built, QC-harmonized, marker-validated, donor-curated, and included as the tuned normalized DG anchor.	Use the 32,067-cell DG GC subset as the tuned human dentate granule anchor; defer pig/rhesus files unless cross-mammal analysis becomes central.
GSE325391	core_build_first_human_dentate_primary	adult_rds_downloaded;geo_metadata_curated;rds_inspected;selected_sparse_bridge_built;human_core_label_projected	dentate_gyrus	human	single_nucleus_or_single_cell_expression	primary adult human dentate acquisition	Adult human dentate gyrus punch samples; adult RDS is now local with 59,075 DG nuclei, a selected sparse bridge, and human-core label projection.	Use as the primary adult human dentate anchor; defer fetal RDS unless developmental contrast is needed.
GSE268609	core_build_first_human_hippocampus_multiome	source_listing_saved;geo_metadata_curated;rna_matrix_barcodes_features_downloaded;rna_selected_npz_built;human_core_label_projected;diagnosis_module_tests_complete	hippocampus	human	snRNA_seq_snATAC_multiome	human hippocampal RNA/multiome expansion	Large human hippocampal neurogenesis multiome across aging and AD; RNA branch now provides a 366,175-nucleus broader human hippocampal context after the adult DG anchor.	Use projected labels and sample-aware module summaries as broader human aging/AD context in the integrated rank layer; defer 76G ATAC fragments and 12G Seurat RDS unless source taxonomy/regulatory analysis becomes necessary.
human_bridge_backbone_rank	integrated_comparative_bridge	units_built;statistics_complete;source_summary_complete;plot_complete	dentate_gyrus_hippocampus_cerebellum	human_mouse	rank_summary	integrated identity/structural comparison	Rank-summary bridge connects the constructed human dentate/hippocampal branch with the refined dentate/cerebellar backbone.	Use for manuscript figure planning and first identity-versus-structural-convergence panels.
GSE233363	core_validation_after_human_dentate	source_listing_saved;not_downloaded	dentate_gyrus	mouse	scRNA_seq_spatial_transcriptomics	mouse dentate aging validation candidate	Mouse DG aging/neurogenic-lineage scRNA plus spatial resource; good validation but does not solve the missing human dentate comparator.	Use as optional validation when moving beyond the built human bridge.
GSE198323	supporting_disease_context	source_listing_saved;not_downloaded	hippocampus	human	high_throughput_expression	AD immature-neuron context	Disease-context resource should not drive healthy/reference conclusions.	Analyze separately after healthy imGC reference is established.
GSE216877	supporting_disease_context	not_downloaded	hippocampus	human	multimodal_expression_ephys_context	epilepsy granule-cell validation	Human epilepsy tissue can reshape excitability and morphology programs.	Use only as disease/physiology validation.
GSE214905	supporting_validation	downloaded	dentate_gyrus	mouse	patch_seq	physiology/projection validation	Small targeted patch-seq; useful for physiology-linked support, not discovery backbone.	Use passed-QC cells and targeted module checks.
