table_id	file_name	title	submission_packet	evidence_tier	reviewer_priority	topic_group	recommended_use	manuscript_location	description	source_file	copied_file	file_size_bytes
Table S1	Table_S1_primary_core_dataset_frame.tsv	Primary-core dataset frame	Reader-facing primary supplementary tables	Primary result	1_read_first	Dataset frame and curation	Directly supports Figure 1 and the primary-core dataset design.	Figure 1; dataset design	Strict 10-dataset manuscript core with branch, species, and role annotations.	Project/results/integrated_primary_core_datasets.tsv	Project/manuscript/Supplementary tables/Table_S1_primary_core_dataset_frame.tsv	3861
Table S2	Table_S2_supporting_dataset_tiers.tsv	Supporting dataset tiers	Reader-facing primary supplementary tables	Primary result	1_read_first	Dataset frame and curation	Directly supports Figure 1 and the primary-core dataset design.	Figure 1; dataset design	Secondary/scaffold resources retained outside the strict manuscript core.	Project/results/revised_core_supporting_dataset_tiers.tsv	Project/manuscript/Supplementary tables/Table_S2_supporting_dataset_tiers.tsv	12239
Table S3	Table_S3_candidate_gene_tiers.tsv	Candidate gene tiers	Reader-facing primary supplementary tables	Primary result	1_read_first	Candidate discovery and tiering	Directly supports Figure 2 and the ortholog-aware candidate-tiering pipeline.	Figure 2	Tiered candidate genes used for manuscript interpretation.	Project/results/primary_core_manuscript_candidate_tiers.tsv	Project/manuscript/Supplementary tables/Table_S3_candidate_gene_tiers.tsv	28793
Table S4	Table_S4_formal_rank_gene_summary.tsv	Formal ortholog rank-meta gene summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Candidate discovery and tiering	Directly supports Figure 2 and the ortholog-aware candidate-tiering pipeline.	Figure 2; candidate discovery	Gene-level formal MGI ortholog rank-meta summary across primary-core layers.	Project/results/primary_core_mgi_ortholog_formal_rank_gene_summary.tsv	Project/manuscript/Supplementary tables/Table_S4_formal_rank_gene_summary.tsv	16412078
Table S5	Table_S5_formal_rank_shared_hits.tsv	Formal shared hits	Reader-facing primary supplementary tables	Primary result	1_read_first	Candidate discovery and tiering	Directly supports Figure 2 and the ortholog-aware candidate-tiering pipeline.	Figure 2; candidate discovery	Genes passing formal shared-hit criteria in the ortholog rank-meta model.	Project/results/primary_core_mgi_ortholog_formal_rank_shared_hits.tsv	Project/manuscript/Supplementary tables/Table_S5_formal_rank_shared_hits.tsv	1470636
Table S6	Table_S6_formal_rank_mechanism_hits.tsv	Formal mechanism-axis hits	Reader-facing primary supplementary tables	Primary result	1_read_first	Candidate discovery and tiering	Directly supports Figure 2 and the ortholog-aware candidate-tiering pipeline.	Figure 2	Formal model hits annotated by mechanism axis.	Project/results/primary_core_mgi_ortholog_formal_rank_mechanism_hits.tsv	Project/manuscript/Supplementary tables/Table_S6_formal_rank_mechanism_hits.tsv	98663
Table S7	Table_S7_mechanism_axis_gene_table.tsv	Mechanism-axis gene table	Reader-facing primary supplementary tables	Primary result	1_read_first	Candidate discovery and tiering	Directly supports Figure 2 and the ortholog-aware candidate-tiering pipeline.	Figure 2	Gene-to-axis assignments for developmental, synaptic, neurite, and guidance axes.	Project/results/primary_core_mechanism_axis_gene_table.tsv	Project/manuscript/Supplementary tables/Table_S7_mechanism_axis_gene_table.tsv	37287
Table S8	Table_S8_mechanism_axis_summary.tsv	Mechanism-axis summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Candidate discovery and tiering	Directly supports Figure 2 and the ortholog-aware candidate-tiering pipeline.	Figure 2	Summary statistics for prioritized mechanism axes.	Project/results/primary_core_mechanism_axis_summary.tsv	Project/manuscript/Supplementary tables/Table_S8_mechanism_axis_summary.tsv	1613
Table S9	Table_S9_named_comparator_axis_summary.tsv	Named-comparator mechanism-axis summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Comparator and configuration tests	Directly supports Figures 3 and 4, including named comparators and configuration scores.	Figure 3a	Mechanism-axis ranks in dentate granule, pyramidal, cerebellar granule, and Purkinje comparators.	Project/results/primary_core_granule_specificity_named_comparator_axis_summary.tsv	Project/manuscript/Supplementary tables/Table_S9_named_comparator_axis_summary.tsv	1047
Table S10	Table_S10_named_comparator_axis_units.tsv	Named-comparator mechanism-axis units	Reader-facing primary supplementary tables	Primary result	1_read_first	Comparator and configuration tests	Directly supports Figures 3 and 4, including named comparators and configuration scores.	Figure 3a	Source group-level units underlying named-comparator mechanism-axis ranks.	Project/results/primary_core_granule_specificity_named_comparator_units.tsv	Project/manuscript/Supplementary tables/Table_S10_named_comparator_axis_units.tsv	30689
Table S11	Table_S11_niche_circuit_gene_sets.tsv	Niche/circuit module gene sets	Reader-facing primary supplementary tables	Primary result	1_read_first	Comparator and configuration tests	Directly supports Figures 3 and 4, including named comparators and configuration scores.	Figure 3b	Curated upstream fate, neurogenic niche, and downstream construction module genes.	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	Project/manuscript/Supplementary tables/Table_S11_niche_circuit_gene_sets.tsv	16419
Table S12	Table_S12_niche_circuit_formal_summary.tsv	Niche/circuit formal summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Comparator and configuration tests	Directly supports Figures 3 and 4, including named comparators and configuration scores.	Figure 3b	Formal-core module convergence summary for upstream versus downstream modules.	Project/results/primary_core_niche_circuit_module_formal_summary.tsv	Project/manuscript/Supplementary tables/Table_S12_niche_circuit_formal_summary.tsv	1937
Table S13	Table_S13_niche_circuit_named_comparator_summary.tsv	Niche/circuit named-comparator summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Comparator and configuration tests	Directly supports Figures 3 and 4, including named comparators and configuration scores.	Figure 3b	Local named-comparator specificity summary for niche/circuit modules.	Project/results/primary_core_niche_circuit_module_named_comparator_summary.tsv	Project/manuscript/Supplementary tables/Table_S13_niche_circuit_named_comparator_summary.tsv	1358
Table S14	Table_S14_configuration_local_contrasts.tsv	Transcriptomic configuration local contrasts	Reader-facing primary supplementary tables	Primary result	1_read_first	Comparator and configuration tests	Directly supports Figures 3 and 4, including named comparators and configuration scores.	Figure 4b	Local named-comparator configuration contrasts.	Project/results/primary_core_transcriptomic_configuration_contrasts.tsv	Project/manuscript/Supplementary tables/Table_S14_configuration_local_contrasts.tsv	1261
Table S15	Table_S15_configuration_primary_summary.tsv	Primary-core configuration summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Comparator and configuration tests	Directly supports Figures 3 and 4, including named comparators and configuration scores.	Figure 4c	Primary-core configuration score summary.	Project/results/primary_core_transcriptomic_configuration_primary_summary.tsv	Project/manuscript/Supplementary tables/Table_S15_configuration_primary_summary.tsv	2784
Table S16	Table_S16_configuration_primary_contrasts.tsv	Primary-core configuration contrasts	Reader-facing primary supplementary tables	Primary result	1_read_first	Comparator and configuration tests	Directly supports Figures 3 and 4, including named comparators and configuration scores.	Figure 4c	Candidate-background configuration deltas across full-MGI and selected-feature layers.	Project/results/primary_core_transcriptomic_configuration_primary_contrasts.tsv	Project/manuscript/Supplementary tables/Table_S16_configuration_primary_contrasts.tsv	21504
Table S17	Table_S17_configuration_driver_summary.tsv	Configuration driver summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Comparator and configuration tests	Directly supports Figures 3 and 4, including named comparators and configuration scores.	Figure 4d	Driver decomposition summary for configuration-positive contrasts.	Project/results/primary_core_configuration_driver_audit_summary.tsv	Project/manuscript/Supplementary tables/Table_S17_configuration_driver_summary.tsv	5828
Table S18	Table_S18_configuration_driver_contrasts.tsv	Configuration driver contrasts	Reader-facing primary supplementary tables	Primary result	1_read_first	Comparator and configuration tests	Directly supports Figures 3 and 4, including named comparators and configuration scores.	Figure 4d	Contrast-level driver classes for construction and fate-polarity components.	Project/results/primary_core_configuration_driver_audit_contrasts.tsv	Project/manuscript/Supplementary tables/Table_S18_configuration_driver_contrasts.tsv	36710
